Date/Time,GF_LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),GF_KITCHEN:Zone Mean Air Temperature [C](Hourly),UF_BEDROOM:Zone Mean Air Temperature [C](Hourly),UF_BATHROOM:Zone Mean Air Temperature [C](Hourly),UF_STORAGE_ROOM:Zone Mean Air Temperature [C](Hourly),BUFFERTANK:Water Heater Tank Temperature [C](Hourly),DHW_TANK:Water Heater Tank Temperature [C](Hourly) 
 10/22  21:00:00,21.849289488155154,22.501904764282212,21.686554745225518,21.13231577432195,22.13044516066939,59.59181322020805,50.707890980790275 
 10/22  22:00:00,21.883145421164325,22.51729919834079,21.69261297123395,21.130615649266225,22.14195299557844,59.526333435585244,50.32117437633845 
 10/22  23:00:00,21.917317654816728,22.560601356397196,21.69540227063824,21.165761727767023,22.152851147628926,59.46099520976609,50.71958663842682 
 10/22  24:00:00,21.551511378346863,22.308270956848904,21.318004675081504,20.90651455302871,21.8965526952342,59.39568390691764,50.41673203709195 
 10/23  01:00:00,21.2439667921444,22.02377440812901,21.040320439408617,20.586156661314664,21.68725629391211,59.3300511266993,50.56260347156876 
 10/23  02:00:00,21.097625412259568,21.84587714879612,20.946303481012723,20.43575967955714,21.594920308441093,59.264211155010415,50.54008404397807 
 10/23  03:00:00,20.98647931212488,21.737829474450898,20.89151515238524,20.380362125027535,21.540917387063086,59.198349547836216,50.51716718056841 
 10/23  04:00:00,20.87972279666915,21.637850471076682,20.846311671945205,20.339325886063044,21.497603070905686,59.13251620639603,50.494718231852914 
 10/23  05:00:00,20.77932690941816,21.54269803333659,20.807073232770026,20.304340088271832,21.45929174006106,59.0667263715924,50.47117272436767 
 10/23  06:00:00,20.670352723367124,21.433083803033384,20.760269992615186,20.251152917692828,21.411075971264804,59.000984391372945,50.447671844272534 
 10/23  07:00:00,20.772372226724023,21.438509238519526,20.90801257109077,20.287174440952864,21.48111874135394,58.93531686933512,50.34060133255326 
 10/23  08:00:00,20.789025353619515,21.545480387198513,20.93473899118632,20.350217199399026,21.493518852014347,58.869870995741394,50.56950282978502 
 10/23  09:00:00,20.49767936200534,21.71109448943656,20.631717816910218,20.265680126364728,21.306302876691092,58.80448490720776,50.70218474839541 
 10/23  10:00:00,20.5089422375795,22.147731048319077,20.618021344092266,20.30772410329591,21.296635188282465,58.738945675175685,50.26354753605089 
 10/23  11:00:00,20.56489162486088,22.56767118198852,20.649333868300303,20.433306368646477,21.362636366173007,58.67354314257511,50.70114727110217 
 10/23  12:00:00,20.66856726262524,22.74307947885292,20.72748535313872,20.543016720888723,21.493442909685953,58.60840080057452,50.29402736452138 
 10/23  13:00:00,20.81957439116553,22.758021242984714,20.838245416670247,20.631066404458927,21.648931264366148,58.543620556880875,50.66753900447356 
 10/23  14:00:00,21.11861665287819,22.8109188651404,21.059379099717322,20.68285575379062,21.793785051423402,58.47922073576289,50.33282286191613 
 10/23  15:00:00,21.52048790960751,22.869914575347533,21.321842975413897,20.733076339187242,21.914583223363316,58.41518007369897,50.625835021273 
 10/23  16:00:00,21.875863912305167,22.8901893825358,21.49551509057104,20.719670915911188,22.004809368055536,58.351451440887566,50.37265063604272 
 10/23  17:00:00,22.014478864156455,22.84642432241074,21.49442349865793,20.630703641576616,22.069335889300664,58.28797918370483,50.58298764775674 
 10/23  18:00:00,22.731977589982797,23.239527674670818,22.129982118465513,21.049033283444004,22.55495698842413,58.224962361227945,50.41394730188679 
 10/23  19:00:00,22.907496221129538,23.424027811987116,22.212333663865465,21.318986490030056,22.68118172224601,58.16273581886438,50.38759700220977 
 10/23  20:00:00,23.027150637341983,23.496293807304053,22.244408598192383,21.37391869267396,22.729628740551856,58.100778836172445,50.510421571482794 
 10/23  21:00:00,23.095355840989722,23.527769392052402,22.239876634888372,21.408059933384273,22.731233497501044,58.03899165712917,50.711205627378604 
 10/23  22:00:00,23.119957225723503,23.53497361949772,22.2127321923773,21.423914305679595,22.71933621931087,59.63986370981783,50.320378029904546 
 10/23  23:00:00,23.118592197101627,23.524722618840453,22.17755662009585,21.429032974069774,22.699260163668637,59.915837059305794,50.71487978171022 
 10/23  24:00:00,22.67669778258363,23.183211936340417,21.748033887487413,21.118817564153172,22.389187415813637,59.850654124676666,50.41568988973192 
 10/24  01:00:00,22.316569683901214,22.822180399458883,21.448062642861622,20.750807816514197,22.151483836982084,59.785054105073556,50.55990768029575 
 10/24  02:00:00,22.1098470972591,22.61820446238798,21.326658105531937,20.624578714691097,22.03284452069213,59.7192141890475,50.53955484810703 
 10/24  03:00:00,21.919565800812165,22.412931045299384,21.22857170315893,20.509718418669483,21.924755237293947,59.65328419454727,50.51882660659159 
 10/24  04:00:00,21.755549554794182,22.259323282979327,21.154715863508777,20.44607286557894,21.843348233110493,59.58729659009719,50.498275016943865 
 10/24  05:00:00,21.57746293152224,22.091523170867607,21.074314779328574,20.374466902234506,21.756721219053787,59.52128574621171,50.47646457619648 
 10/24  06:00:00,21.409171086571718,21.910077363269764,21.002471336368487,20.27867921905453,21.674286885979217,59.45523629027137,50.45422684933721 
 10/24  07:00:00,21.46825220621224,21.897396062861027,21.140691463746958,20.3359744653959,21.731950293067904,59.38921895647459,50.33694451326919 
 10/24  08:00:00,21.404171481501372,21.865225226375795,21.134992817353407,20.359152366513342,21.70861399759531,59.323392738566305,50.57334448490375 
 10/24  09:00:00,21.002966898689177,21.766531382033396,20.78690137442483,20.15304953417911,21.45631788073881,59.2575523217461,50.695345357736365 
 10/24  10:00:00,20.96065988239743,21.88147773466928,20.759909513148884,20.09830110656191,21.405125558361142,59.19144545050031,50.271241648340585 
 10/24  11:00:00,21.042802822635174,22.150997026074194,20.816534777481582,20.278045350772878,21.47420995820783,59.12543005580411,50.69331155160442 
 10/24  12:00:00,21.165302963183105,22.406349432144793,20.90780871748756,20.501496523888825,21.59432434058094,59.05967989201444,50.30089443416634 
 10/24  13:00:00,21.307330074635004,22.565380049673983,21.02426041969194,20.683261572971432,21.725199394467495,58.99426301416642,50.661038477875636 
 10/24  14:00:00,21.5559275262215,22.716124085226284,21.233926051997287,20.835001915191093,21.870425015277704,58.9291940872506,50.33768548395189 
 10/24  15:00:00,21.883716949485397,22.85852648684765,21.477631368478097,20.96709620834739,22.01723366356204,58.86450027557626,50.62092517659093 
 10/24  16:00:00,22.22882064955604,22.974057566598933,21.69962039770519,21.050309246332418,22.151770368351166,58.800169863231254,50.377344357119824 
 10/24  17:00:00,22.43397885066875,23.018531980441193,21.790720511049827,21.07802203282835,22.245096131070348,58.73617691875698,50.57756916506732 
 10/24  18:00:00,23.134988309027428,23.418709398103463,22.425923322005506,21.458481125775002,22.75753573257485,58.67268177346015,50.42008389413044 
 10/24  19:00:00,23.28853237479636,23.593650485989752,22.509006846183528,21.645177601172435,22.90103694502098,58.61002802389535,50.386082153100276 
 10/24  20:00:00,23.407812979173045,23.651648945837223,22.558398333572708,21.654521184708003,22.96592484595663,58.5476654337782,50.51099518736177 
 10/24  21:00:00,23.489478343628072,23.713186057451235,22.5766890935517,21.694115705924467,22.99752462084154,58.4855136438684,50.71113852432721 
 10/24  22:00:00,23.52373673377369,23.7465739159111,22.558516153423273,21.712534653703877,22.991605805256597,58.42350919276716,50.32048776428303 
 10/24  23:00:00,23.52266903919338,23.756008030423875,22.519232655489787,21.715165924526225,22.96275816826013,58.361593197597706,50.71445387986936 
 10/24  24:00:00,23.116585139282886,23.500852050665486,22.109043160878716,21.47983545793746,22.682643344664907,58.29963435464749,50.41472741539624 
 10/25  01:00:00,22.802380553234652,23.277129526511796,21.834699758653713,21.263989237968552,22.483648759143257,58.237320973097994,50.558376115234935 
 10/25  02:00:00,22.62827650051561,23.153062552837994,21.731131323698012,21.195299886229577,22.38894725407922,58.17481528600793,50.538991327177264 
 10/25  03:00:00,22.462620940942497,23.025156725488685,21.653083331916076,21.136211575384984,22.31121273529318,58.11226188227199,50.51938551149125 
 10/25  04:00:00,22.307308775737816,22.897242039766926,21.592149546863993,21.074149016240586,22.246204428696295,58.049691894306285,50.50029186497998 
 10/25  05:00:00,22.16964330688778,22.778555761514248,21.54719683963596,21.015849855189842,22.199934807404798,59.3248499242794,50.480369230488975 
 10/25  06:00:00,22.045103618720947,22.68325834541843,21.511333772898848,20.98696894733925,22.1732241190713,59.92537448733231,50.459986767265846 
 10/25  07:00:00,22.13018478036102,22.72076119460674,21.66471904108849,21.08087568294232,22.258007956614158,59.85940569593537,50.334730051352366 
 10/25  08:00:00,22.12064334894702,22.797027433718416,21.694816076584427,21.179479566479756,22.275836417066248,59.79368057757571,50.5735419467827 
 10/25  09:00:00,21.82143847265706,22.990788693096285,21.41074656549306,21.080651527473783,22.092742793696743,59.72802366775426,50.699394686824775 
 10/25  10:00:00,21.79987420416493,23.435542402448284,21.400813400487444,21.09431424483892,22.08488390276731,59.66221991504991,50.26978310697089 
 10/25  11:00:00,21.881308336733625,23.85852746979087,21.47082005821538,21.29269309020597,22.18790407132675,59.596567983676564,50.691836226780914 
 10/25  12:00:00,22.052033415999947,24.132848676608994,21.59396475703892,21.54068838324617,22.36778222583854,59.53125409138627,50.3161353925357 
 10/25  13:00:00,22.258547011993727,24.258710903110497,21.733851503611604,21.70065644947691,22.547917952401075,59.46637719462405,50.63984489453351 
 10/25  14:00:00,22.52468166068035,24.360796118065267,21.918902999199126,21.762630046197838,22.69116556392663,59.40191318756906,50.36951509414425 
 10/25  15:00:00,22.80315175168448,24.456883490290544,22.090603839545278,21.809783183997943,22.81030143321572,59.33779962505477,50.5804915765522 
 10/25  16:00:00,23.058214810967065,24.53143086368807,22.23302984461323,21.859537176146127,22.91031636763328,59.27400537937184,50.42508342035673 
 10/25  17:00:00,23.215515634977976,24.519113138191912,22.298689987103856,21.85646112079437,22.969619408086768,59.210478496313726,50.518599631194576 
 10/25  18:00:00,23.9027806828084,24.859854425999053,22.93918584547539,22.22418033907489,23.427366341578292,59.14738708333583,50.482992680457315 
 10/25  19:00:00,24.03565535699349,24.936481139979993,23.006534706645684,22.353749386585825,23.523035709217275,59.08503377103668,50.370881323819795 
 10/25  20:00:00,24.12238845342168,24.918026054110637,23.03405815318952,22.341568983206574,23.551148412232287,59.02290291925641,50.51903362362785 
